Book #,SONG ID,SOURCE,Title,Text © admin,CCLI #,Tune © admin,Author,Author's life span,Tune name,Composer,Composer life span,Word revisions,life span,Music adapt ,Life span,Descants,Life span,Ref. No,Psalm ref #
1,P001,1,How blest the man who does not walk,Ward,n/a,pd,The Complete Book of Psalms for Singing,1991,ST. PETERSBURG,"Bortniansky, Dimitri S.",1751-1825,,,,,,,,1
2,P003,2,Why now do the nations rage?,PCA,n/a,pd,Rejoice!,1987,MONSEY CHAPEL,"Van Halsema, Dick L. ",b. 1922,,,,,,,,3
3,P004,3,"O LORD, how are my foes increased!",Crown and Covenant;,n/a,pd,The Complete Book of Psalms for Singing,1991,MARTYRDOM,"Wilson, Hugh ",1766-1824,,,,,,,,4
3,P004,3,"O LORD, how are my foes increased!",Ward;,n/a,pd,The Book of Psalms for Singing,1973,MARTYRDOM,"Wilson, Hugh ",1766-1824,,,,,,,,4
4,P005,4,"O hear my cry, my righteous God",Free Church of Scotland,n/a,pd,Sing Psalms,2003,CHESHIRE,"Este, The Whole Book of Psalmes",1592,,,,,,,,5
119:01:00,P153,119:01:00,Blessed are those of blameless ways,Free Church of Scotland,n/a,pd,Sing Psalms,2003,APPLETON,"Boyce, William ",1710-1779,,,,,,,,154
119:09:00,P174,119:09:00,How can the young keep their life pure?,Free Church of Scotland,n/a,pd,Sing Psalms,2003,DUANE STREET,"Coles, George ",1792-1858,,,,,,,,155
119:17:00,P163,119:17:00,Do good to me,Free Church of Scotland,n/a,pd,Sing Psalms,2003,MARYTON,"Smith, H. Percy ",1825-1898,,,,,,,,156
119:25:00,P164,119:25:00,My soul is laid low     ,Free Church of Scotland,n/a,pd,Sing Psalms,2003,PENTECOST,"Boyd, William ",1847-1928,,,,,,,,157
119:33:00,P166,119:33:00,"Teach me, O LORD",1957,n/a,pd,Psalter Hymnal ,1957,BISHOP,"Holbrook, Joseph P.",1822-1888,,,,,,,,159
119:41:00,P167,119:41:00,May your unfailing love come to me,Free Church of Scotland,n/a,FCS,Sing Psalms,2003,MULCHAICH,"Scott, Isobel ",b. 1942,,,,,,,,160
119:49:00,P168,119:49:00,"LORD, your word to me remember",1957,n/a,pd,Psalter Hymnal,1957,STUTTGART,"Witt, Christian F.",1660-1716,,,"Gauntlett, Henry J. ",1805-1876,,,,161
119:57:00,P169,119:57:00,"Thou art my portion, LORD",1957,n/a,pd,Psalter Hymnal,1957,CARLISLE,"Lockhart, Charles",1745-1815,,,,,,,,162
5,P006,5,"LORD Almighty, hear my words",STTL,n/a,FACR,"Rogers, John H.",b. 1951,HOSEA,"Jonkman, Norm ",b. 1944,,,,,,,,6
